source_spanish,reference_english,seq2seq_beam_pred,seq2seq_greedy_pred,transformer_beam_pred,transformer_greedy_pred
eso es sentido común .,that s common sense .,that s all .,that s all .,that is nonsense .,that s nonsense .
puedes hablar .,you may speak .,you may talk .,you may talk .,you can speak .,you can speak .
tom no dejó de fumar así que mary salió de la pieza .,tom didn t stop smoking so mary left the room .,tom wouldn t give up so he mary s been s room .,tom wouldn t care of so he mary s been s room .,tom didn t stop smoking so mary s room .,tom didn t stop mary s room .
recién acabo de terminar mi trabajo .,i have just finished my work .,i ve just just finished my job .,i ve just just finished my job .,i just lost my job .,i just just bought my job .
planeo comprar un auto nuevo tan pronto pueda costearme uno .,i plan to buy a new car as soon as i can afford one .,i plan to buy a car car so soon as well .,i plan to buy a car car so soon as well .,i plan to buy a new car as soon as i can afford to buy one .,i plan to buy one new car as soon as i can afford to buy one .
querer cosas nos hace más felices que realmente tenerlas .,wanting things makes us happier than actually having them .,i spent things more more than you really likes .,i things more more more than you but i d like .,we really seem to get together again .,we really want to sound more happy .
no sé qué haré .,i don t know what i ll do .,i don t know what i do .,i don t know what i do .,i don t know what i ll do .,i don t know what i ll do .
sin dinero él no podía hacer nada .,without money he could do nothing .,he does not have to do anything .,he does not have to do anything .,he could do nothing but without money .,he could do nothing but not do without money .
él me gusta .,i like him .,he like me .,he like me .,i like him .,i like him .
la ciudad estaba envuelta en niebla .,the city was wrapped in fog .,the city was enveloped on a high .,the city was enveloped in a high .,the city was in any city .,the city was in any city .
¡ qué mala suerte tengo !,how unlucky i am !,what a bad luck !,what a bad luck !,what a bad luck !,what a bad luck !
debes ser cuidadoso de no hacerlo enfadar .,you must be careful not to make him angry .,you must be careful to do not doing .,you must be careful if not doing not .,you must be angry by no means .,you must be angry by no means .
el paciente está empeorando día a día .,the patient is getting worse and worse day by day .,the patient is getting worse day day .,the patient is getting worse day day .,the day is getting worse .,the day is getting worse .
él se baña todas las mañanas .,he has a bath every morning .,he takes a shower every morning .,he takes a shower every morning .,he takes a shower every morning .,he takes a shower every morning .
ellos siguieron peleando contra los invasores año tras año .,they continued fighting against the invaders year after year .,they kept their own efforts were after year .,they kept their own efforts were after year .,they were fighting again next year .,they were fighting again next year .
añadió un poco de azúcar al café .,he added a little sugar to the coffee .,keep a little sugar to coffee .,keep a little sugar to coffee .,sugar dissolves little sugar .,sugar a little sugar dissolves .
algunas personas comen el sushi con las manos .,some people eat sushi with their hands .,some people think the other with your hands .,some people think the with your hands .,some people feel secure with the sushi .,some people tend to be paid with your hands .
¿ quién inventó el teléfono ?,who was the telephone invented by ?,who invented the telephone ?,who invented the telephone ?,who invented the phone ?,who invented the phone ?
vámonos a dar un paseo .,let s go out for a walk .,let s give for a walk .,let s give for a walk .,let s go for a walk .,let s go for a walk .
él mató a ese hombre .,he killed that man .,he killed that man .,he killed that man .,he killed that man .,he killed that man .
él se está llevando bien con sus empleados .,he is getting along with his employees .,he is pretty well with his employees well .,he is getting along with his employees .,he is getting along with his employees .,he is getting along with her own employees .
espero que este caballo no patee .,i hope this horse doesn t kick .,i hope this horse wouldn t .,i hope this horse wouldn t .,i hope this horse .,i hope this horse .
son chicos .,they re boys .,they re boys .,they re boys .,they re boys .,they re boys .
mary le pidió a su hijo que se portara bien .,mary asked her son to behave himself .,mary asked her son she s get well .,mary asked her son she s get well .,mary asked her son .,mary asked her son .
lo vi en el parque .,i saw him in the park .,i saw him in the park .,i saw saw him the park .,i saw him in the park .,i saw him in the park .
aprendí mucho .,i learned a lot .,i drank a lot .,i drank a lot .,i learned a lot .,i learned a lot .
