model,true_label,pred_label,count
BiGRU,4,3,33
BiGRU,3,4,20
BiGRU,20,19,16
BiGRU,4,16,13
BiGRU,3,1,8
BiGRU,4,11,8
BiGRU,16,3,8
BiGRU,16,4,8
BiGRU,19,20,7
BiGRU,3,19,6
BiGRU,3,11,5
BiGRU,3,16,5
BiGRU,4,13,5
BiGRU,13,16,5
BiGRU,19,4,5
BiGRU,20,3,5
BiGRU,20,4,5
BiGRU,0,11,4
BiGRU,4,19,4
BiGRU,4,31,4
BiGRU,5,1,4
BiGRU,6,13,4
BiGRU,11,1,4
BiGRU,11,3,4
BiGRU,13,3,4
BiGRU,16,11,4
BiGRU,17,16,4
BiGRU,19,3,4
BiGRU,36,11,4
BiGRU,41,16,4
NaiveBayes,3,4,66
NaiveBayes,19,20,18
NaiveBayes,11,36,14
NaiveBayes,3,20,11
NaiveBayes,20,19,11
NaiveBayes,3,16,8
NaiveBayes,3,19,8
NaiveBayes,4,3,8
NaiveBayes,16,13,8
NaiveBayes,17,16,7
NaiveBayes,1,11,6
NaiveBayes,3,1,6
NaiveBayes,3,21,6
NaiveBayes,4,19,6
NaiveBayes,16,4,6
NaiveBayes,20,4,6
NaiveBayes,4,16,5
NaiveBayes,19,3,5
NaiveBayes,19,4,5
NaiveBayes,24,1,5
NaiveBayes,40,19,5
NaiveBayes,2,1,4
NaiveBayes,4,13,4
NaiveBayes,4,17,4
NaiveBayes,4,20,4
NaiveBayes,5,1,4
NaiveBayes,8,4,4
NaiveBayes,11,21,4
NaiveBayes,14,1,4
NaiveBayes,15,1,4
TextCNN,4,3,36
TextCNN,3,4,18
TextCNN,19,20,14
TextCNN,4,16,12
TextCNN,19,3,12
TextCNN,13,16,10
TextCNN,13,3,8
TextCNN,20,3,8
TextCNN,20,19,8
TextCNN,3,1,7
TextCNN,3,16,7
TextCNN,16,4,7
TextCNN,1,3,5
TextCNN,1,11,5
TextCNN,11,3,5
TextCNN,24,1,5
TextCNN,24,2,5
TextCNN,34,3,5
TextCNN,41,16,5
TextCNN,3,25,4
TextCNN,8,3,4
TextCNN,8,4,4
TextCNN,13,4,4
TextCNN,13,11,4
TextCNN,18,3,4
TextCNN,19,4,4
TextCNN,20,4,4
TextCNN,21,3,4
TextCNN,23,4,4
TextCNN,36,11,4
Transformer,3,4,37
Transformer,4,3,15
Transformer,19,20,15
Transformer,20,19,15
Transformer,16,4,13
Transformer,1,4,8
Transformer,19,4,8
Transformer,3,1,7
Transformer,13,16,7
Transformer,40,19,7
Transformer,3,19,6
Transformer,13,4,6
Transformer,20,4,6
Transformer,36,11,6
Transformer,4,16,5
Transformer,12,19,5
Transformer,20,3,5
Transformer,24,1,5
Transformer,3,20,4
Transformer,4,11,4
Transformer,4,25,4
Transformer,5,1,4
Transformer,8,4,4
Transformer,10,4,4
Transformer,11,3,4
Transformer,16,3,4
Transformer,17,4,4
Transformer,19,3,4
Transformer,41,16,4
Transformer,43,18,4
