model,true_label,pred_label,count
BiGRU,4,3,47
BiGRU,3,4,17
BiGRU,4,16,11
BiGRU,20,19,11
BiGRU,19,20,10
BiGRU,16,4,8
BiGRU,3,1,6
BiGRU,3,19,6
BiGRU,19,3,6
BiGRU,19,4,6
BiGRU,19,40,6
BiGRU,20,4,6
BiGRU,1,13,5
BiGRU,4,13,5
BiGRU,13,16,5
BiGRU,18,30,5
BiGRU,20,3,5
BiGRU,3,8,4
BiGRU,3,11,4
BiGRU,3,16,4
BiGRU,11,3,4
BiGRU,25,4,4
BiGRU,40,19,4
BiGRU,0,1,3
BiGRU,1,2,3
BiGRU,1,3,3
BiGRU,4,1,3
BiGRU,4,17,3
BiGRU,4,19,3
BiGRU,4,20,3
NaiveBayes,3,4,66
NaiveBayes,19,20,18
NaiveBayes,11,36,14
NaiveBayes,3,20,11
NaiveBayes,20,19,11
NaiveBayes,3,16,8
NaiveBayes,3,19,8
NaiveBayes,4,3,8
NaiveBayes,16,13,8
NaiveBayes,17,16,7
NaiveBayes,1,11,6
NaiveBayes,3,1,6
NaiveBayes,3,21,6
NaiveBayes,4,19,6
NaiveBayes,16,4,6
NaiveBayes,20,4,6
NaiveBayes,4,16,5
NaiveBayes,19,3,5
NaiveBayes,19,4,5
NaiveBayes,24,1,5
NaiveBayes,40,19,5
NaiveBayes,2,1,4
NaiveBayes,4,13,4
NaiveBayes,4,17,4
NaiveBayes,4,20,4
NaiveBayes,5,1,4
NaiveBayes,8,4,4
NaiveBayes,11,21,4
NaiveBayes,14,1,4
NaiveBayes,15,1,4
TextCNN,4,3,38
TextCNN,3,4,20
TextCNN,19,20,12
TextCNN,16,4,11
TextCNN,19,3,9
TextCNN,4,16,8
TextCNN,19,11,8
TextCNN,20,3,8
TextCNN,1,11,7
TextCNN,3,1,7
TextCNN,20,19,7
TextCNN,1,3,6
TextCNN,4,11,6
TextCNN,13,3,6
TextCNN,16,3,6
TextCNN,16,11,6
TextCNN,36,11,6
TextCNN,3,11,5
TextCNN,19,40,5
TextCNN,20,8,5
TextCNN,21,11,5
TextCNN,24,1,5
TextCNN,11,3,4
TextCNN,13,11,4
TextCNN,13,16,4
TextCNN,19,4,4
TextCNN,20,4,4
TextCNN,34,3,4
TextCNN,0,1,3
TextCNN,3,8,3
Transformer,3,4,25
Transformer,4,3,17
Transformer,20,19,17
Transformer,13,16,12
Transformer,4,16,11
Transformer,19,20,10
Transformer,3,1,8
Transformer,3,20,8
Transformer,16,4,8
Transformer,3,11,7
Transformer,3,19,7
Transformer,19,4,6
Transformer,36,11,6
Transformer,40,19,6
Transformer,41,16,6
Transformer,1,4,5
Transformer,3,16,5
Transformer,4,11,5
Transformer,4,19,5
Transformer,11,1,5
Transformer,20,4,5
Transformer,24,1,5
Transformer,5,1,4
Transformer,8,4,4
Transformer,11,3,4
Transformer,11,16,4
Transformer,15,28,4
Transformer,16,2,4
Transformer,16,3,4
Transformer,18,4,4
