model,true_label,pred_label,count
BiGRU,4,3,28
BiGRU,3,4,19
BiGRU,20,19,16
BiGRU,16,4,11
BiGRU,3,19,8
BiGRU,19,20,8
BiGRU,4,19,7
BiGRU,19,40,7
BiGRU,3,1,6
BiGRU,4,16,6
BiGRU,13,16,6
BiGRU,19,3,6
BiGRU,20,4,6
BiGRU,8,19,5
BiGRU,11,3,5
BiGRU,19,4,5
BiGRU,20,3,5
BiGRU,4,13,4
BiGRU,5,1,4
BiGRU,11,1,4
BiGRU,13,1,4
BiGRU,13,4,4
BiGRU,24,1,4
BiGRU,36,11,4
BiGRU,40,19,4
BiGRU,1,3,3
BiGRU,2,24,3
BiGRU,3,11,3
BiGRU,4,1,3
BiGRU,4,9,3
NaiveBayes,3,4,66
NaiveBayes,19,20,18
NaiveBayes,11,36,14
NaiveBayes,3,20,11
NaiveBayes,20,19,11
NaiveBayes,3,16,8
NaiveBayes,3,19,8
NaiveBayes,4,3,8
NaiveBayes,16,13,8
NaiveBayes,17,16,7
NaiveBayes,1,11,6
NaiveBayes,3,1,6
NaiveBayes,3,21,6
NaiveBayes,4,19,6
NaiveBayes,16,4,6
NaiveBayes,20,4,6
NaiveBayes,4,16,5
NaiveBayes,19,3,5
NaiveBayes,19,4,5
NaiveBayes,24,1,5
NaiveBayes,40,19,5
NaiveBayes,2,1,4
NaiveBayes,4,13,4
NaiveBayes,4,17,4
NaiveBayes,4,20,4
NaiveBayes,5,1,4
NaiveBayes,8,4,4
NaiveBayes,11,21,4
NaiveBayes,14,1,4
NaiveBayes,15,1,4
TextCNN,4,3,29
TextCNN,3,4,23
TextCNN,19,20,12
TextCNN,19,11,11
TextCNN,20,19,10
TextCNN,16,4,9
TextCNN,21,11,9
TextCNN,4,11,8
TextCNN,36,11,8
TextCNN,1,11,7
TextCNN,3,1,7
TextCNN,3,11,7
TextCNN,4,16,7
TextCNN,19,3,7
TextCNN,16,3,6
TextCNN,16,11,6
TextCNN,24,1,6
TextCNN,1,3,5
TextCNN,13,11,5
TextCNN,19,4,5
TextCNN,20,3,5
TextCNN,41,16,5
TextCNN,3,19,4
TextCNN,3,20,4
TextCNN,3,25,4
TextCNN,11,3,4
TextCNN,13,3,4
TextCNN,20,4,4
TextCNN,20,8,4
TextCNN,28,1,4
Transformer,4,3,38
Transformer,3,4,21
Transformer,20,19,16
Transformer,4,16,11
Transformer,19,20,11
Transformer,13,16,9
Transformer,3,1,7
Transformer,3,19,7
Transformer,11,1,7
Transformer,16,4,7
Transformer,20,4,7
Transformer,40,19,7
Transformer,4,1,6
Transformer,3,16,5
Transformer,4,19,5
Transformer,8,3,5
Transformer,17,16,5
Transformer,19,4,5
Transformer,1,3,4
Transformer,2,24,4
Transformer,4,20,4
Transformer,5,1,4
Transformer,11,3,4
Transformer,12,19,4
Transformer,15,1,4
Transformer,16,3,4
Transformer,19,3,4
Transformer,19,11,4
Transformer,20,3,4
Transformer,24,1,4
