best_model,text,true_label,pred_label,pred_prob_pos,correct,confidence,error_type
NaiveBayes,''meet sherri for an evening of pleasure and terror '' cheap special effects cheesy lines yep its the original movie ''nurse sherri'' starting geoffrey land as peter desmond and jill jacobson as sherri martin and directed by al adamson the movie is about an evil ancient spirit that possesses a nurse at a hospital then she starts killing doctors one by one the acting was okay but some of the acting was robotic the storyline was good but the sex scenes were just thrown in there probably to get more views the directing was bad and the special effects looked like a drawing the effects didn't fool anybody the death scenes were pretty good but the director mixed too many things in there that didn't make any sense like the sex scenes the nudity the football player and many more overall its a good movie but not the best out of,1,0,0.026648976467048887,0,0.9467020470659022,false_negative
NaiveBayes,in the mountains of japan forlorn young artist sessue hayakawa as tatsu aka the dragon painter paints magnificent landscapes he prays divinity will restore his fianc e whom he believes was changed into a dragon years ago meanwhile in tokyo an forlorn older painter edward peil as kano indara laments not having a son to carry on his family line of artists when mr peil sees mr hayakawa's paintings he sees a painter worthy to become his son and disciple hayakawa also falls in love with peil's daughter tsuru aoki ume ko believing she's the reincarnation of his long lost princess but with his love fulfilled hayakawa loses his ability to paint an introduction notes 'the dragon painter' was originally released in by the haworth pictures a hollywood based production company formed the previous year by sessue hayakawa a japanese born actor who enjoyed great popularity in the silent period the film was ninth of twenty two features produced by haworth each of which was tailored to hayakawa's talents and to his stock company of japanese actors fortunately a print of this film was found in france and restored the description the dragon painter is a fantasy allegory of love and creative inspiration that is lost when longing is fulfilled is accurate with its production hayakawa intended to provide a different view of japanese culture to american audiences avoiding the stereotyping violence and melodramatic conflict expected in 'oriental' films of the period hayakawa was successful in that part of his goal although this film probably did not and will not appeal to most viewers and is not the best example of its intent the dragon painter william worthington sessue hayakawa edward peil tsuru aoki,0,1,0.9596153592356127,0,0.9192307184712254,false_positive
NaiveBayes,i saw this movie with hopes of a good laugh but when i watched it i didn't stop laughing for weeks they are such bad actors and it made this movie so much funnier to watch btw ryan dunn didn't eat the toy car he shoved it up his ass the random appearances from the skaters and vitos parts were great gimme some grapes vito no valo your grapes are at the store i wouldn't recommend any one under to watch it frankly they wouldn't understand half of the jokes in or what they are talking about i love vlb and after watching this movie i couldn't help but go buy it or the viva la bam series what is the deal with this stupid comment thing it has to be lines what kind of bull sh t is that i should be able to write one as long or in this case as short as i want i'm just going to keep typing until it tells me i can actually send it its just a waste of time i expected to just say what i wanted it wasn't too much but then i'm told i have to keep putting more in and then it corrects my spelling so what if i didn't spell something right you get what i mean still this is ridiculously long those who live by the sword get shot by those who don't,1,0,0.0531197933762951,0,0.8937604132474098,false_negative
NaiveBayes,luchino visconti the artist with the sword courage should be the first word associated with his entire opus film theater music revolutions artistic cultural personal a legacy with powerful consequences and endless ramifications he introduced the neorealism through the work of an american novelist james cain in ossesione he gave anna magnani the most extraordinarily beautiful close ups of her career he gave us alain delon and maria callas but the last word about his life and work rests on the talents of a certain adam low and the voice of helmut berger what a terrible fate for those interested there is a minute documentary by director carlo lizzani a man who really knew visconti titled luchino visconti a portrait it is out on dvd distributed by image entertainment,0,1,0.9402004927952848,0,0.8804009855905697,false_positive
NaiveBayes,spoilers ahead it is really unfortunate that a movie so well produced turns out to be such a disappointment i thought this was full of silly clich s and that it basically tried to hard to the american guys out there how many of you spend your time jumping on your girlfriend's bed and making monkey sounds to the married girls how many of you have suddenly gone from prudes to nymphos overnight but not with your husband to the french would you really ask about someone being la fac when you know they don't speak french wouldn't you use a more common word like universit i lived in france for a while and i sort of do know and understand europe and i love it but my german roommate and i found this pretty insulting overall it looked like a movie funded by the european parliament and it tried too hard basically it had all sorts of differences that it tried to tie together not a bad thing in itself but the result is at best awkward but in fact ridiculous too many clashes that wouldn't really happen then the end of the movie the last minutes ruined all the rest why doesn't xavier talk to the erasmus students he meets back in paris why does he just walk off why does he just run away from his job is that freedom and in the end is the new europe supposed to rest on a bunch of people who smoke up and shag all day is this what it's made up of besides the acting was pretty horrible i can't believe judith godr che's role and acting why was she made to look like emanuelle b art so much at first i thought xavier was ok but with retrospect i think he was pretty bad and that's all really too bad because technically opening credits scenes when he's asking what papers he needs it was really good except for sound editing around the british siblings and the soundtrack was great too so the form was good but the content pretty horrible,1,0,0.061027292246082124,0,0.8779454155078358,false_negative
NaiveBayes,l'ossessa also known as the tormented or the sexorcist or the ridiculously titled the eerie midnight horror show is a forgotten exorcist rip off which contains one of the best horror moments i've ever seen the scene is when the crucifix comes alive this great spooky scene is unforgettable and totally effective great fxs it's a shame the rest of the movie doesn't maintain the level of creepiness exemplified during that scene this is one of the most frustrating movies ever imagine the producers deciding to to make an exorcist copy but while making it they actually succeed in creating something truly original a possessed sculpture of crucified man which is shocking when you think about it but then completely forgets their original idea in order to make a boring and uninspired exorcist rip off had the film continued with the possessed sculpture concept with the characters trying to destroy it etc this film would have rocked but once the girl becomes possessed by the spirit of the sculpture she never tells anyone from where the demon came from she and the script completely forgets the haunted crucifix which is stupid if you like so called euro cult movies the first minutes deliver unlike any other euro cult movies but after the scene when the girl has a vision of being crucified and she gets stigmatas the remaining minutes suck boring it goes nowhere fast as it tries to emulate badly the exorcist so watch the first minutes of l'ossessa and enjoy the s fashions the sleaze and the amazing statue comes alive to ravish the girl scene but after the first minutes press stop and eject and might as well go clip your toenails,1,0,0.06544632520247019,0,0.8691073495950596,false_negative
NaiveBayes,this is a pretty obscure dumb horror movie set in the s everglades it is really stupid and lame for the first half then it actually starts to get good for the last half there is a scene with the hero running to save his friends interspersed with shots of a church group singing i don't know it is mesmerizing i was impressed with the night time scenes because it actually looked like night unlike most low budget horror films where it still looks like daytime i feel like the director was really talented but was working with a miniscule budget and a tough schedule there are a few scenes towards the end the one mentioned above and also the end credits that are extremely cool this movie could have been a genuine classic if it left its scooby doo conventions behind and went straight for the throat i was surprised at how good this movie turned out to be i couldn't take my eyes off of it and i had to ask myself why,1,0,0.06616314138299607,0,0.8676737172340079,false_negative
NaiveBayes,while this isn't an all time classic comedy it is a pretty good little movie to watch if you catch it on a rainy saturday morning with not a lot else going on right then harold lloyd plays ezekiel cobb an american coming home after growing up in china where his dad was a missionary he has come home from china to find an american wife and plans to return to china to continue his father's work cobb unwittingly is recruited to run for mayor of his corrupt home town when the existing political machine that controls the town realizes that he would make a perfect patsy to run against the current mayor who also is the head of the town's underworld they figure the bumbling stumbling cobb has no chance to win and therefore the current mayor continues to run the town and run his schemes which makes them all rich lloyd isn't doing the physical comedy here like he did in his silent films he does a convincing portrayal of cobb with a reserved understated dignity the acting was good from all involved and the story and script were also quite good being made in the film does have some rather racist language when talking about the chinese and it also has a typical black character from that era but these stereotypes aren't nearly as mean as i've seen from other films from that time although not close to being lloyd's best film this movie does entertain and lloyd is very good as cobb you won't be blown away by this film but it may be enough to peak your interest in lloyd and make you want to see more of his work,0,1,0.9320351756956154,0,0.8640703513912309,false_positive
NaiveBayes,i remember this film as the other person that commented said i recorded over it but wish i had it now just because it had to be one of the worst movies ever funny in a real bad way i remember the tag line on the box was the ultimate frontal lobotomy i got it from my mom who got it from a friend at work who said it was the worst cheesiest movie she had ever seen so my mom said my son will probably love it and the woman gave it to her just to get it out of her possession i then later taped over it which i regret i also remember the corck screw thing was one of those ball catcher things the yellow cone shaped things with a red button at the end and when you hit the red thing it sends a ball flying well they used that with a crank on one end and a corkscrew in the funnel when the killer killed they would show him coming forward with the weapon and then cut to a close up of what appeared to be raw chicken and fake blood on the victims head i don't know what else to say about this gem except that if you like bad films it doesn't get any worse than this,1,0,0.07114571650202402,0,0.857708566995952,false_negative
NaiveBayes,i can't believe i missed this one made in with a budget that would probably allow you to make one indifferent episode of a tv soap this is minutes of sustained sharp as a knife film making you will find the outline plot etc elsewhere on this site consider though that the whole thing was shot using a single hand held mm camera all the dialogue is improvised none of the 'actors' had appeared in front of a camera before it sounds like a recipe for disaster instead what we get is hippies v cops running around in the california desert in what evolves into a 'that's not fair i'm on that person's side'scenario the only problem is the director keeps making you shift your allegiance and at the end of minutes we're still not sure who has one brilliant quite brilliant,1,0,0.07250888687776225,0,0.8549822262444755,false_negative
